topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Neil Ferguson (epidemiologist),0.6,0.2,72,10,0.39999999999999997
Melioidosis,0.6,0.2,0,5,0.39999999999999997
COVID-19 pandemic in Cagayan Valley,0.6,0.2,36,5,0.39999999999999997
Influenza NS1,0.6,0.2,0,5,0.39999999999999997
Naegleriasis,0.6,0.2,89,40,0.39999999999999997
Glutamine,0.6,0.2,78,25,0.39999999999999997
Löffler's syndrome,0.6,0.2,82,5,0.39999999999999997
Dicamba,0.6,0.2,5,5,0.39999999999999997
Select Agent Program,0.6,0.2,0,5,0.39999999999999997
Sodium/potassium/calcium exchanger 5,0.6,0.2,52,25,0.39999999999999997
Virus classification,0.6,0.2,4,295,0.39999999999999997
Spirometra,0.6,0.2,58,5,0.39999999999999997
Atheroma,0.6,0.2,75,5,0.39999999999999997
Sputnik V COVID-19 vaccine,0.6,0.2,47,70,0.39999999999999997
Tenofovir disoproxil,0.6,0.2,32,10,0.39999999999999997
Sputum,0.6,0.2,67,100,0.39999999999999997
West Nile virus,0.6,0.2,0,5,0.39999999999999997
Stenotrophomonas maltophilia,0.6,0.2,27,85,0.39999999999999997
Rabies in animals,0.6,0.2,77,45,0.39999999999999997
Rabies virus,0.6,0.2,20,315,0.39999999999999997
Apolipoprotein C-III,0.6,0.2,1,130,0.39999999999999997
1826–1837 cholera pandemic,0.6,0.2,4,10,0.39999999999999997
Yersinia pestis,0.6,0.2,0,5,0.39999999999999997
Anthrax,0.6,0.2,0,5,0.39999999999999997
Aflatoxins,0.6,0.2,0,5,0.39999999999999997
Rubella virus,0.6,0.2,62,230,0.39999999999999997
Antigenic drift,0.6,0.2,0,5,0.39999999999999997
Virus (2019 film),0.6,0.2,7,5,0.39999999999999997
Single-stranded binding protein,0.6,0.2,27,105,0.39999999999999997
Vibrio parahaemolyticus,0.6,0.2,0,5,0.39999999999999997
Scrub typhus,0.6,0.2,18,15,0.39999999999999997
Pseudomonas aeruginosa,0.6,0.2,45,70,0.39999999999999997
Trichuris trichiura,0.6,0.2,94,10,0.39999999999999997
Tetanus,0.6,0.2,7,25,0.39999999999999997
2002–2004 SARS outbreak,0.6,0.2,76,55,0.39999999999999997
Porcine epidemic diarrhea virus,0.6,0.2,30,65,0.39999999999999997
Paragonimiasis,0.6,0.2,2,10,0.39999999999999997
Sarcocystis neurona,0.6,0.2,33,15,0.39999999999999997
Alphapithovirus,0.6,0.2,2,190,0.39999999999999997
Positive-strand RNA virus,0.6,0.2,58,155,0.39999999999999997
Adolf Mayer,0.6,0.2,18,5,0.39999999999999997
Sarcocystis,0.6,0.2,84,20,0.39999999999999997
Sulfamethoxazole,0.6,0.2,69,5,0.39999999999999997
Mutagenesis,1.0,0.75,0,4,0.25
Lysin,0.75,0.5,35,152,0.25
Poxvirus,0.5,0.25,0,4,0.25
Virus viability,1.0,0.75,0,4,0.25
Index of Windows games (M),0.75,0.5,77,68,0.25
Index of DOS games (D),0.75,0.5,38,8,0.25
List of pterosaur genera,0.5,0.25,74,8,0.25
List of doping cases in sport (S),0.75,0.5,95,4,0.25
Vaccinium,0.5,0.25,80,8,0.25
Upper respiratory tract infection,1.0,0.75,62,16,0.25
Coccidioides posadasii,0.75,0.5,56,12,0.25
Tetany,0.5,0.25,59,4,0.25
Anthrax anthrax,0.5,0.25,7,4,0.25
Bacillus,1.0,0.75,18,60,0.25
Frameshift mutation,0.8,0.6,0,5,0.20000000000000007
List of links golf courses,0.8,0.6,26,15,0.20000000000000007
Cryptanalysis,0.8,0.6,91,5,0.20000000000000007
List of interstellar and circumstellar molecules,0.8,0.6,28,5,0.20000000000000007
List of infectious diseases,0.8,0.6,32,75,0.20000000000000007
Foreign involvement in the Russian invasion of Ukraine,0.8,0.6,39,5,0.20000000000000007
Cat worm infections,0.8,0.6,18,20,0.20000000000000007
COVID-19 lockdown in India,0.8,0.6,45,10,0.20000000000000007
Gluten-related disorders,0.8,0.6,14,5,0.20000000000000007
Rhinophyma,0.8,0.6,9,5,0.20000000000000007
Leprosy,0.8,0.6,75,5,0.20000000000000007
List of established military terms,0.8,0.6,13,5,0.20000000000000007
Lenstra–Lenstra–Lovász lattice basis reduction algorithm,0.8,0.6,71,15,0.20000000000000007
Antisperm antibodies,0.8,0.6,21,5,0.20000000000000007
Castanospermum,0.8,0.6,3,5,0.20000000000000007
Casomorphin,0.8,0.6,24,20,0.20000000000000007
Ribosomal frameshift,0.8,0.6,0,5,0.20000000000000007
ACVR1,0.8,0.6,66,15,0.20000000000000007
Leprosy in Louisiana,0.8,0.6,62,5,0.20000000000000007
Casimir Funk,0.8,0.6,93,5,0.20000000000000007
Carrion,0.8,0.6,61,10,0.20000000000000007
Tuberculosis vaccines,0.8,0.6,26,15,0.20000000000000007
List of mammals of Kansas,0.8,0.6,44,5,0.20000000000000007
Saturn (rocket family),0.8,0.6,31,5,0.20000000000000007
Goosey Goosey Gander,0.8,0.6,80,5,0.20000000000000007
Cellular adaptation,0.8,0.6,92,5,0.20000000000000007
Cellana exarata,0.8,0.6,91,5,0.20000000000000007
Second plague pandemic,0.8,0.6,0,5,0.20000000000000007
KvLQT1,0.8,0.6,97,5,0.20000000000000007
Green nail syndrome,0.8,0.6,90,10,0.20000000000000007
LGALS3BP,0.8,0.6,51,40,0.20000000000000007
Lactate dehydrogenase,0.8,0.6,32,20,0.20000000000000007
List of megalopolises,0.8,0.6,68,5,0.20000000000000007
Schistosomiasis,0.8,0.6,87,5,0.20000000000000007
Cefdinir,0.8,0.6,97,15,0.20000000000000007
Anatomical terminology,0.8,0.6,78,5,0.20000000000000007
Ribosome-inactivating protein,0.8,0.6,0,5,0.20000000000000007
AP-1 transcription factor,0.8,0.6,62,50,0.20000000000000007
Lao Airlines Flight 301,0.8,0.6,53,5,0.20000000000000007
CAIG Wing Loong,0.8,0.6,91,5,0.20000000000000007
Larry Price (politician),0.8,0.6,5,5,0.20000000000000007
Larry Rogers Jr.,0.8,0.6,6,5,0.20000000000000007
Latent TGF-beta binding protein,0.8,0.6,53,5,0.20000000000000007
Ancient DNA,0.8,0.6,74,175,0.20000000000000007
Lateral sulcus,0.8,0.6,21,5,0.20000000000000007
Trypanosoma,0.8,0.6,0,5,0.20000000000000007
Glypican 3,0.8,0.6,17,30,0.20000000000000007
Saliva testing,0.8,0.6,65,30,0.20000000000000007
Cabotegravir,0.8,0.6,58,10,0.20000000000000007
List of enzymes,0.8,0.6,59,5,0.20000000000000007
List of birds of Hawaii,0.8,0.6,26,5,0.20000000000000007
Fruit,0.8,0.6,37,5,0.20000000000000007
List of abbreviations used in medical prescriptions,0.8,0.6,42,5,0.20000000000000007
Cancer immunology,0.8,0.6,29,15,0.20000000000000007
Ant venom,0.8,0.6,85,10,0.20000000000000007
Gellan gum,0.8,0.6,30,115,0.20000000000000007
Campylobacter rectus,0.8,0.6,25,40,0.20000000000000007
List of benzimidazole opioids,0.8,0.6,23,15,0.20000000000000007
Coccidiosis,0.8,0.6,5,5,0.20000000000000007
List of bioterrorist incidents,0.8,0.6,43,15,0.20000000000000007
Gavialoidea,0.8,0.6,64,155,0.20000000000000007
COVID-19 vaccination mandates in the United States,0.8,0.6,71,5,0.20000000000000007
List of Trichoderma species,0.8,0.6,78,5,0.20000000000000007
CRIME,0.8,0.6,45,10,0.20000000000000007
Gavialidae,0.8,0.6,82,5,0.20000000000000007
List of birds of Shenandoah National Park,0.8,0.6,40,5,0.20000000000000007
List of crinoid genera,0.8,0.6,89,30,0.20000000000000007
Gary Ruvkun,0.8,0.6,54,30,0.20000000000000007
Gardnerella vaginalis,0.8,0.6,73,60,0.20000000000000007
List of business simulation video games,0.8,0.6,52,15,0.20000000000000007
Undeciphered writing systems,0.8,0.6,53,10,0.20000000000000007
CSS Florida (cruiser),0.8,0.6,34,5,0.20000000000000007
List of computer system emulators,0.8,0.6,79,5,0.20000000000000007
List of United States INCITS codes by county,0.8,0.6,28,10,0.20000000000000007
Roseola,0.8,0.6,53,40,0.20000000000000007
United Network for Organ Sharing,0.8,0.6,90,5,0.20000000000000007
Lipogenesis,0.8,0.6,10,20,0.20000000000000007
Sacubitril,0.8,0.6,30,15,0.20000000000000007
Type II hypersensitivity,0.8,0.6,13,20,0.20000000000000007
Leukopenia,0.8,0.6,85,5,0.20000000000000007
STING (protein),0.8,0.6,0,5,0.20000000000000007
Levopropoxyphene,0.8,0.6,51,5,0.20000000000000007
Glaucine,0.8,0.6,4,15,0.20000000000000007
Germ theory denialism,0.8,0.6,87,10,0.20000000000000007
SLU-PP-332,0.8,0.6,98,20,0.20000000000000007
Gentamicin,0.8,0.6,27,15,0.20000000000000007
Lipodystrophy,0.8,0.6,13,10,0.20000000000000007
Lipopolysaccharide,0.8,0.6,0,5,0.20000000000000007
Gene synthesis,0.8,0.6,0,5,0.20000000000000007
List of Baywatch episodes,0.8,0.6,81,5,0.20000000000000007
List of Beretta Mini Pistols,0.8,0.6,87,10,0.20000000000000007
Cantonese salted fish,0.8,0.6,60,5,0.20000000000000007
List of Fusarium species,0.8,0.6,30,15,0.20000000000000007
List of Greek letters,0.8,0.6,67,10,0.20000000000000007
List of Latin-script alphabets,0.8,0.6,17,10,0.20000000000000007
Korean language and computers,0.8,0.6,44,5,0.20000000000000007
List of PSPACE-complete problems,0.8,0.6,46,10,0.20000000000000007
Cross-reactivity,0.8,0.6,0,5,0.20000000000000007
List of Salticidae genera,0.8,0.6,51,5,0.20000000000000007
List of McDonnell Douglas F-4 Phantom II variants,0.8,0.6,85,20,0.20000000000000007
Macrophagic myofasciitis,0.8,0.6,56,75,0.20000000000000007
Guide RNA,0.8,0.6,3,55,0.20000000000000007
Chunked transfer encoding,0.8,0.6,54,15,0.20000000000000007
Hookworm infection,0.8,0.6,89,5,0.20000000000000007
Immunoglobulin heavy chain,0.8,0.6,84,200,0.20000000000000007
Immunology,0.8,0.6,95,35,0.20000000000000007
Thiomersal,0.8,0.6,91,10,0.20000000000000007
Sulfur metabolism,0.8,0.6,99,20,0.20000000000000007
Comparison of agent-based modeling software,0.8,0.6,50,10,0.20000000000000007
Inclisiran,0.8,0.6,48,5,0.20000000000000007
Suicide weapon,0.8,0.6,24,5,0.20000000000000007
Index case,0.8,0.6,86,5,0.20000000000000007
Index of DOS games (H),0.8,0.6,12,30,0.20000000000000007
Thoracic diaphragm,0.8,0.6,26,10,0.20000000000000007
India and weapons of mass destruction,0.8,0.6,53,5,0.20000000000000007
Suckling pig,0.8,0.6,54,5,0.20000000000000007
Influenza research,0.8,0.6,0,5,0.20000000000000007
Infant swimming,0.8,0.6,32,5,0.20000000000000007
Agglutinogen,0.8,0.6,46,25,0.20000000000000007
Highly hazardous chemical,0.8,0.6,37,5,0.20000000000000007
Hib vaccine,0.8,0.6,86,75,0.20000000000000007
Strictly standardized mean difference,0.8,0.6,99,5,0.20000000000000007
Chromosome 5,0.8,0.6,18,90,0.20000000000000007
Hershey–Chase experiment,0.8,0.6,30,40,0.20000000000000007
Streptococcus constellatus,0.8,0.6,72,55,0.20000000000000007
Streptococcus bovis,0.8,0.6,83,260,0.20000000000000007
Streptococcus agalactiae,0.8,0.6,92,20,0.20000000000000007
Chromosome,0.8,0.6,42,10,0.20000000000000007
Streptobacillus moniliformis,0.8,0.6,66,80,0.20000000000000007
Synucleinopathy,0.8,0.6,11,10,0.20000000000000007
Iloprost,0.8,0.6,89,10,0.20000000000000007
Illumina Methylation Assay,0.8,0.6,32,255,0.20000000000000007
Ileitis,0.8,0.6,69,5,0.20000000000000007
Coccidioides immitis,0.8,0.6,18,15,0.20000000000000007
Terminator (genetics),0.8,0.6,78,95,0.20000000000000007
Human skeleton,0.8,0.6,83,5,0.20000000000000007
Human trafficking in Japan,0.8,0.6,58,5,0.20000000000000007
Tetrazepam,0.8,0.6,41,5,0.20000000000000007
Hydrochoerus,0.8,0.6,81,10,0.20000000000000007
Clussexx Three D Grinchy Glee,0.8,0.6,98,5,0.20000000000000007
Human microbiome,0.8,0.6,3,40,0.20000000000000007
Terminal multiplexer,0.8,0.6,69,5,0.20000000000000007
Human interactions with insects,0.8,0.6,56,5,0.20000000000000007
Human hair color,0.8,0.6,9,5,0.20000000000000007
Hypertriglyceridemia,0.8,0.6,74,10,0.20000000000000007
Hypha,0.8,0.6,92,5,0.20000000000000007
Human chimera,0.8,0.6,9,10,0.20000000000000007
Tf–idf,0.8,0.6,52,140,0.20000000000000007
Tensor reshaping,0.8,0.6,81,25,0.20000000000000007
The Adventures of Jimmy Neutron Boy Genius,0.8,0.6,22,30,0.20000000000000007
Host–parasite coevolution,0.8,0.6,63,10,0.20000000000000007
IKZF1,0.8,0.6,33,35,0.20000000000000007
Adenosine reuptake inhibitor,0.8,0.6,35,5,0.20000000000000007
Tanning dependence,0.8,0.6,46,5,0.20000000000000007
INS Hanit,0.8,0.6,70,5,0.20000000000000007
IPLEDGE program,0.8,0.6,91,5,0.20000000000000007
"Take a picture, it will last longer",0.8,0.6,82,185,0.20000000000000007
Host cell protein,0.8,0.6,64,120,0.20000000000000007
Thymeleaf,0.8,0.6,70,5,0.20000000000000007
Steatopygia,0.8,0.6,18,5,0.20000000000000007
Kolmogorov structure function,0.8,0.6,82,15,0.20000000000000007
Kai (conjunction),0.8,0.6,91,15,0.20000000000000007
Isosorbide dinitrate,0.8,0.6,96,5,0.20000000000000007
Aciclovir,0.8,0.6,28,40,0.20000000000000007
Panmixia,0.8,0.6,80,5,0.20000000000000007
Trichogramma,0.8,0.6,71,5,0.20000000000000007
Acariasis,0.8,0.6,87,5,0.20000000000000007
Trichomonas,0.8,0.6,49,5,0.20000000000000007
Halorhodopsin,0.8,0.6,72,20,0.20000000000000007
Hafnia (bacterium),0.8,0.6,32,50,0.20000000000000007
Haematopoiesis,0.8,0.6,44,50,0.20000000000000007
Juxtacapillary receptors,0.8,0.6,14,15,0.20000000000000007
KKXX (amino acid sequence),0.8,0.6,73,150,0.20000000000000007
Cervical screening,0.8,0.6,100,10,0.20000000000000007
Ursus dolinensis,0.8,0.6,83,5,0.20000000000000007
Information hazard,0.8,0.6,84,50,0.20000000000000007
"Abdullahi v. Pfizer, Inc.",0.8,0.6,25,5,0.20000000000000007
HGH Fragment 176–191,0.8,0.6,65,5,0.20000000000000007
Keratic precipitate,0.8,0.6,50,5,0.20000000000000007
Tricresyl phosphate,0.8,0.6,92,10,0.20000000000000007
H3 receptor antagonist,0.8,0.6,28,15,0.20000000000000007
Corbicula fluminea,0.8,0.6,77,5,0.20000000000000007
Killing of Eric Harris,0.8,0.6,23,5,0.20000000000000007
Amino acid synthesis,0.8,0.6,71,20,0.20000000000000007
Trifid cipher,0.8,0.6,29,5,0.20000000000000007
Ceramide,0.8,0.6,91,20,0.20000000000000007
Klebsiella oxytoca,0.8,0.6,94,25,0.20000000000000007
Knowledge acquisition,0.8,0.6,97,5,0.20000000000000007
Iron poisoning,0.8,0.6,23,15,0.20000000000000007
Smith–Magenis syndrome,0.8,0.6,14,5,0.20000000000000007
Solvated electron,0.8,0.6,16,5,0.20000000000000007
Hemoglobinopathy,0.8,0.6,74,5,0.20000000000000007
Injection (medicine),0.8,0.6,88,5,0.20000000000000007
Acute motor axonal neuropathy,0.8,0.6,48,50,0.20000000000000007
Acute kidney injury,0.8,0.6,88,5,0.20000000000000007
Choledochoduodenostomy,0.8,0.6,87,5,0.20000000000000007
Steatoda,0.8,0.6,35,5,0.20000000000000007
Compartmental models in epidemiology,0.8,0.6,13,100,0.20000000000000007
Complement (set theory),0.8,0.6,14,5,0.20000000000000007
Timeline of the COVID-19 pandemic,0.8,0.6,16,15,0.20000000000000007
Insect physiology,0.8,0.6,67,5,0.20000000000000007
Insecticide,0.8,0.6,79,15,0.20000000000000007
Integrase inhibitor,0.8,0.6,83,5,0.20000000000000007
Chloroflexota,0.8,0.6,20,85,0.20000000000000007
Intelligent Input Bus,0.8,0.6,39,5,0.20000000000000007
Chlamydia trachomatis,0.8,0.6,88,45,0.20000000000000007
Chlamydia,0.8,0.6,51,5,0.20000000000000007
Interim Register of Marine and Nonmarine Genera,0.8,0.6,53,145,0.20000000000000007
Acrivastine,0.8,0.6,70,5,0.20000000000000007
Intestinal epithelium,0.8,0.6,57,5,0.20000000000000007
Spike protein,0.8,0.6,46,60,0.20000000000000007
Transcriptome,0.8,0.6,67,240,0.20000000000000007
Intraoperative blood salvage,0.8,0.6,76,5,0.20000000000000007
Travelers' diarrhea,0.8,0.6,71,15,0.20000000000000007
Traveling tournament problem,0.8,0.6,89,5,0.20000000000000007
Condom effectiveness,0.8,0.6,75,5,0.20000000000000007
Soma (biology),0.8,0.6,88,5,0.20000000000000007
Cerebrolysin,0.8,0.6,43,35,0.20000000000000007
List of deaths through alcohol,0.8,0.6,98,5,0.20000000000000007
Tetracycline antibiotics,0.8,0.6,43,10,0.20000000000000007
Epithelioid hemangioendothelioma,0.8,0.6,69,15,0.20000000000000007
Autoimmune polyendocrine syndrome,0.8,0.6,95,5,0.20000000000000007
Memory erasure,0.8,0.6,50,20,0.20000000000000007
Nucleic acid tertiary structure,0.8,0.6,33,205,0.20000000000000007
Nuclease S1,0.8,0.6,98,40,0.20000000000000007
2021 Georgia poultry plant accident,0.8,0.6,38,5,0.20000000000000007
Erdosteine,0.8,0.6,28,5,0.20000000000000007
Ventilator,0.8,0.6,43,10,0.20000000000000007
Protozoan infection,0.8,0.6,59,15,0.20000000000000007
Metric tensor (general relativity),0.8,0.6,99,5,0.20000000000000007
Nonvenereal endemic syphilis,0.8,0.6,71,5,0.20000000000000007
Essential matrix,0.8,0.6,29,15,0.20000000000000007
2019–2022 locust infestation,0.8,0.6,72,20,0.20000000000000007
Birt–Hogg–Dubé syndrome,0.8,0.6,68,10,0.20000000000000007
Microwave chemistry,0.8,0.6,92,5,0.20000000000000007
Proton nuclear magnetic resonance,0.8,0.6,91,35,0.20000000000000007
Prothrombin G20210A,0.8,0.6,76,20,0.20000000000000007
Biphenyl,0.8,0.6,23,5,0.20000000000000007
Mnemonics in trigonometry,0.8,0.6,83,5,0.20000000000000007
Peter Duesberg,0.8,0.6,59,5,0.20000000000000007
Nitroxoline,0.8,0.6,91,135,0.20000000000000007
Melanotan II,0.8,0.6,65,15,0.20000000000000007
Essential thrombocythemia,0.8,0.6,32,10,0.20000000000000007
Protein synthesis inhibitors,0.8,0.6,0,5,0.20000000000000007
Maria Jasin,0.8,0.6,63,5,0.20000000000000007
Malyuk,0.8,0.6,75,10,0.20000000000000007
2022 United States infant formula shortage,0.8,0.6,97,175,0.20000000000000007
Management of strabismus,0.8,0.6,2,15,0.20000000000000007
Pyruvate decarboxylase,0.8,0.6,93,15,0.20000000000000007
Pyrosequencing,0.8,0.6,76,40,0.20000000000000007
Maraviroc,0.8,0.6,29,30,0.20000000000000007
Bolas spider,0.8,0.6,34,5,0.20000000000000007
Vegetarian and vegan dog diet,0.8,0.6,55,10,0.20000000000000007
Xanthochromia,0.8,0.6,72,5,0.20000000000000007
Ofatumumab,0.8,0.6,40,5,0.20000000000000007
Nucleosome,0.8,0.6,7,25,0.20000000000000007
Vegetation,0.8,0.6,15,5,0.20000000000000007
Obligate anaerobe,0.8,0.6,27,80,0.20000000000000007
Blunt Force Trauma,0.8,0.6,99,5,0.20000000000000007
Marine fungi,0.8,0.6,95,5,0.20000000000000007
Psittacosis,0.8,0.6,13,40,0.20000000000000007
Peripheral stem cell transplantation,0.8,0.6,85,5,0.20000000000000007
Eucalyptus globulus subsp. globulus,0.8,0.6,98,5,0.20000000000000007
Arrow poison,0.8,0.6,97,5,0.20000000000000007
Mathematical operators and symbols in Unicode,0.8,0.6,28,80,0.20000000000000007
DNA damage theory of aging,0.8,0.6,88,130,0.20000000000000007
Viral evolution,0.8,0.6,0,5,0.20000000000000007
Malwarebytes (software),0.8,0.6,47,10,0.20000000000000007
Piperacillin,0.8,0.6,79,5,0.20000000000000007
Nested set model,0.8,0.6,48,10,0.20000000000000007
Porcine circovirus,0.8,0.6,27,120,0.20000000000000007
Nerve agent,0.8,0.6,5,30,0.20000000000000007
Myelitis,0.8,0.6,54,40,0.20000000000000007
Energy expenditure,0.8,0.6,63,5,0.20000000000000007
Myosin,0.8,0.6,92,45,0.20000000000000007
Effects of cannabis,0.8,0.6,74,5,0.20000000000000007
Poales,0.8,0.6,14,5,0.20000000000000007
Myxococcus xanthus,0.8,0.6,13,100,0.20000000000000007
Wernicke encephalopathy,0.8,0.6,58,5,0.20000000000000007
Network eavesdropping,0.8,0.6,10,5,0.20000000000000007
Visceral leishmaniasis,0.8,0.6,78,35,0.20000000000000007
Piwi-interacting RNA,0.8,0.6,16,65,0.20000000000000007
W50 (nuclear warhead),0.8,0.6,82,5,0.20000000000000007
Plague of Amwas,0.8,0.6,6,5,0.20000000000000007
Bictegravir/emtricitabine/tenofovir alafenamide,0.8,0.6,39,15,0.20000000000000007
Wason selection task,0.8,0.6,60,5,0.20000000000000007
Native American disease and epidemics,0.8,0.6,84,10,0.20000000000000007
Plethysmograph,0.8,0.6,77,10,0.20000000000000007
Needleman–Wunsch algorithm,0.8,0.6,45,175,0.20000000000000007
Viral replication,0.8,0.6,0,5,0.20000000000000007
Picture Transfer Protocol,0.8,0.6,77,10,0.20000000000000007
Epidemiology of herpes simplex,0.8,0.6,66,50,0.20000000000000007
Benzodiazepine overdose,0.8,0.6,30,5,0.20000000000000007
Protein splicing,0.8,0.6,13,155,0.20000000000000007
Protein metabolism,0.8,0.6,77,70,0.20000000000000007
Monoamine neurotransmitter,0.8,0.6,42,5,0.20000000000000007
List of prehistoric lakes,0.8,0.6,92,5,0.20000000000000007
Protein aggregation,0.8,0.6,10,20,0.20000000000000007
Ebola in Nigeria,0.8,0.6,99,10,0.20000000000000007
Eosinophil,0.8,0.6,99,35,0.20000000000000007
Phagosome,0.8,0.6,47,25,0.20000000000000007
2001 anthrax attacks,0.8,0.6,0,5,0.20000000000000007
Phylogenetics,0.8,0.6,93,55,0.20000000000000007
Assassination attempts on Adolf Hitler,0.8,0.6,54,5,0.20000000000000007
Entomophthora muscae,0.8,0.6,89,10,0.20000000000000007
Viral oncogenesis,0.8,0.6,0,5,0.20000000000000007
Viral pneumonia,0.8,0.6,77,250,0.20000000000000007
Echinomycin,0.8,0.6,82,15,0.20000000000000007
Bioluminescent bacteria,0.8,0.6,57,85,0.20000000000000007
Mutation rate,0.8,0.6,13,10,0.20000000000000007
Aspergillus,0.8,0.6,26,25,0.20000000000000007
Viral reactivation,0.8,0.6,0,5,0.20000000000000007
Neuroacanthocytosis,0.8,0.6,35,5,0.20000000000000007
Oncolytic virus,0.8,0.6,0,5,0.20000000000000007
Evaluation measures (information retrieval),0.8,0.6,80,145,0.20000000000000007
Arachidonic acid,0.8,0.6,88,5,0.20000000000000007
Longest common subsequence,0.8,0.6,61,40,0.20000000000000007
Reed–Sternberg cell,0.8,0.6,90,30,0.20000000000000007
Rectification (geometry),0.8,0.6,83,5,0.20000000000000007
Culicoides,0.8,0.6,2,100,0.20000000000000007
Lixisenatide,0.8,0.6,66,30,0.20000000000000007
Othala,0.8,0.6,88,5,0.20000000000000007
Fisher information metric,0.8,0.6,45,5,0.20000000000000007
Vaginal flora,0.8,0.6,90,50,0.20000000000000007
Filipin,0.8,0.6,39,5,0.20000000000000007
Logic of graphs,0.8,0.6,41,10,0.20000000000000007
Lorena S. Beese,0.8,0.6,48,25,0.20000000000000007
Lists of human genes,0.8,0.6,56,35,0.20000000000000007
Osteomyelitis,0.8,0.6,40,15,0.20000000000000007
Fermented fish,0.8,0.6,14,5,0.20000000000000007
Bronchiectasis,0.8,0.6,70,5,0.20000000000000007
Balanitis circinata,0.8,0.6,7,5,0.20000000000000007
Lower sulfur oxides,0.8,0.6,79,25,0.20000000000000007
Luc Montagnier,0.8,0.6,59,10,0.20000000000000007
Apolipoprotein C,0.8,0.6,75,5,0.20000000000000007
Lumia (citrus),0.8,0.6,58,5,0.20000000000000007
Lycoperdonosis,0.8,0.6,97,15,0.20000000000000007
Lists of poisonings,0.8,0.6,4,5,0.20000000000000007
Flagellin,0.8,0.6,79,95,0.20000000000000007
Fermat primality test,0.8,0.6,74,5,0.20000000000000007
Cryptosporidium,0.8,0.6,83,105,0.20000000000000007
Pancreatic enzymes (medication),0.8,0.6,21,10,0.20000000000000007
List of rice cultivars,0.8,0.6,90,5,0.20000000000000007
Cryptogenic organizing pneumonia,0.8,0.6,44,10,0.20000000000000007
List of sequenced bacterial genomes,0.8,0.6,80,175,0.20000000000000007
List of shrimp dishes,0.8,0.6,35,5,0.20000000000000007
List of surnames in Ukraine,0.8,0.6,24,5,0.20000000000000007
Palmitoylethanolamide,0.8,0.6,89,5,0.20000000000000007
Urticaceae,0.8,0.6,99,10,0.20000000000000007
List of terms relating to algorithms and data structures,0.8,0.6,42,80,0.20000000000000007
Bacterial cellular morphologies,0.8,0.6,63,35,0.20000000000000007
Paralytic shellfish poisoning,0.8,0.6,0,5,0.20000000000000007
Vaccine hesitancy,0.8,0.6,40,5,0.20000000000000007
Diglyceride,0.8,0.6,83,5,0.20000000000000007
P4 (programming language),0.8,0.6,20,10,0.20000000000000007
List of unsolved problems in astronomy,0.8,0.6,79,5,0.20000000000000007
Foam depopulation,0.8,0.6,83,5,0.20000000000000007
Diphtheria,0.8,0.6,39,10,0.20000000000000007
Burkholderia cepacia complex,0.8,0.6,66,125,0.20000000000000007
Respiratory alkalosis,0.8,0.6,70,10,0.20000000000000007
Fluoroantimonic acid,0.8,0.6,25,15,0.20000000000000007
Lymphocyte,0.8,0.6,53,60,0.20000000000000007
Fibre Channel over Ethernet,0.8,0.6,64,5,0.20000000000000007
Naval Air Station Pensacola shooting,0.8,0.6,83,10,0.20000000000000007
Dopamine receptor D2,0.8,0.6,1,90,0.20000000000000007
Pascal's pyramid,0.8,0.6,52,5,0.20000000000000007
Parotitis,0.8,0.6,68,5,0.20000000000000007
RTP payload formats,0.8,0.6,85,5,0.20000000000000007
Yeyi language,0.8,0.6,86,15,0.20000000000000007
Azotobacter,0.8,0.6,94,15,0.20000000000000007
Lysyltransferase,0.8,0.6,2,10,0.20000000000000007
Basidiomycota,0.8,0.6,95,15,0.20000000000000007
Cyclone Ianos,0.8,0.6,86,5,0.20000000000000007
Feline infectious peritonitis,0.8,0.6,65,115,0.20000000000000007
Lysine—pyruvate 6-transaminase,0.8,0.6,55,15,0.20000000000000007
RASopathy,0.8,0.6,76,5,0.20000000000000007
RIG-I,0.8,0.6,26,160,0.20000000000000007
Operation Cast Thy Bread,0.8,0.6,97,5,0.20000000000000007
2023 Paris bedbug infestation,0.8,0.6,55,5,0.20000000000000007
Dnipro strikes (2022–present),0.8,0.6,72,5,0.20000000000000007
2024 Baltic Sea submarine cable disruptions,0.8,0.6,60,5,0.20000000000000007
Disease (disambiguation),0.8,0.6,43,15,0.20000000000000007
BamHI,0.8,0.6,84,240,0.20000000000000007
